"filename", "language", "PHP", "Markdown", "JSON", "SQL", "Batch", "XML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.spphtmltable.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 197
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.spprequest.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.sppresponse.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 66, 15, 124
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.sppvalidator.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 73
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.sppviewerrors.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.sppviewform.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 0, 0, 69, 22, 250
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.viewpage.php", "PHP", 361, 0, 0, 0, 0, 0, 0, 0, 0, 353, 62, 776
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.viewtag.php", "PHP", 313, 0, 0, 0, 0, 0, 0, 0, 0, 267, 67, 647
"c:\xampp\htdocs\school\spp\modules\spp\sppview\classes.htmlelements.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 105
"c:\xampp\htdocs\school\spp\modules\spp\sppview\formelements\classes.formelements.php", "PHP", 331, 0, 0, 0, 0, 0, 0, 0, 0, 43, 32, 406
"c:\xampp\htdocs\school\spp\modules\spp\sppview\js\sppview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\spp\modules\spp\sppview\modinit.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\school\spp\modules\spp\sppview\module.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 2, 31
"c:\xampp\htdocs\school\spp\modules\spp\sppview\sppvalidator\class.sppmultiplevalidator.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 38
"c:\xampp\htdocs\school\spp\modules\spp\sppview\sppvalidator\class.sppsinglevalidator.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 32
"c:\xampp\htdocs\school\spp\modules\spp\sppview\sppvalidator\class.sppvalidate.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 18
"c:\xampp\htdocs\school\spp\modules\spp\sppview\sppvalidator\classes.sppvalidators.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 79
"c:\xampp\htdocs\school\spp\modules\spp\sppview\sppvalidator\module.xml", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 2, 26
"c:\xampp\htdocs\school\spp\modules\spp\sppwizard\class.sppwizard.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 57, 9, 155
"c:\xampp\htdocs\school\spp\modules\spp\sppwizard\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 2, 24
"c:\xampp\htdocs\school\spp\modules\spp\sppxdb\class.sppxdb.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 17
"c:\xampp\htdocs\school\spp\modules\spp\sppxdb\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 2, 24
"c:\xampp\htdocs\school\spp\pages.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\school\spp\res\css\spp.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\spp\res\js\spp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 3, 6, 33
"c:\xampp\htdocs\school\spp\res\js\sppview\sppview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\xampp\htdocs\school\spp\services.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\school\spp\sppinit.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 81, 9, 139
"c:\xampp\htdocs\school\src\about.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\school\src\home.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 59
"c:\xampp\htdocs\school\src\login.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\xampp\htdocs\school\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\school\vendor\bin\yaml-lint.bat", "Batch", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\school\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 0, 0, 0, 0, 235, 59, 580
"c:\xampp\htdocs\school\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 0, 0, 0, 0, 0, 0, 133, 49, 360
"c:\xampp\htdocs\school\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\school\vendor\composer\autoload_files.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\school\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\school\vendor\composer\autoload_psr4.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\school\vendor\composer\autoload_real.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 51
"c:\xampp\htdocs\school\vendor\composer\autoload_static.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"c:\xampp\htdocs\school\vendor\composer\installed.json", "JSON", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 1, 163
"c:\xampp\htdocs\school\vendor\composer\installed.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\xampp\htdocs\school\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\Ctype.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 127, 30, 233
"c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\README.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\bootstrap.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 51
