[2026-05-18 10:20:14] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:27:57] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:28:38] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:29:14] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:42:49] URI: /school1/lekhak/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:43:16] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:44:32] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-18 10:45:00] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-18 10:45:37] URI: /school1/lekhak/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:46:07] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:48:43] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:49:11] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:49:47] URI: /school1/node/19, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-18 10:50:08] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:50:45] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:52:02] URI: /school1/node/5, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:52:36] URI: /school1/node/4, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:53:01] URI: /school1/node/4, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:53:17] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:53:47] URI: /school1/node/4, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:54:01] URI: /school1/page/debug-page, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:54:31] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 10:55:00] URI: /school1/node/19, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-18 10:55:27] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:56:02] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:56:13] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:56:46] URI: /school1/node/19, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-18 10:57:11] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:58:18] URI: /school1/node/5, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 10:58:35] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:01:03] URI: /school1/node/19, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-18 11:01:37] URI: /school1/page/debug-page, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-18 11:01:53] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:02:18] URI: /school1/lekhak/admin/settings, VIEW: placeholder, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/placeholder.blade.php, IS_ADMIN: YES
[2026-05-18 11:02:42] URI: /school1/lekhak/admin/settings, VIEW: placeholder, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/placeholder.blade.php, IS_ADMIN: YES
[2026-05-18 11:03:24] URI: /school1/lekhak/admin/settings, VIEW: placeholder, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/placeholder.blade.php, IS_ADMIN: YES
[2026-05-18 11:03:59] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
